,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
26,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
27,Hispanic,Married,Unmarried Man,Female,Single Family Residence,71.0,144086,1973,10.0
28,African American,Married,Husband and wife,Female,Single Family Residence,59.0,237733,1967,16.0
29,Western European,Married,Unknown or not provided,Female,Single Family Residence,41.0,148572,1974,15.0
30,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
31,Hispanic,Married,Unmarried Man,Female,Single Family Residence,71.0,144086,1973,10.0
32,Western European,Married,Unknown or not provided,Female,Single Family Residence,41.0,148572,1974,15.0
33,African American,Married,Husband and wife,Female,Single Family Residence,59.0,237733,1967,16.0
34,Hispanic,Separated,Single / Unmarried,Female,Single Family Residence,63.0,79437,1986,17.0
35,Hispanic,Separated,Single / Unmarried,Female,Single Family Residence,63.0,79437,1986,17.0
36,African American,Married,Husband and wife,Female,Single Family Residence,59.0,237733,1967,16.0
37,Western European,Married,Unknown or not provided,Female,Single Family Residence,41.0,148572,1974,15.0
38,Hispanic,Married,Unmarried Man,Female,Single Family Residence,71.0,144086,1973,10.0
39,Western European,Married,Husband and wife,Female,Single Family Residence,53.0,592941,1992,23.0
40,Western European,Married,Husband and wife,Female,Single Family Residence,50.0,376018,2006,9.0
41,Western European,Married,Husband and wife,Female,Single Family Residence,56.0,1231604,2006,9.0
42,Western European,Married,Unknown or not provided,Female,Condominium,68.0,1032281,2006,11.64179104477612
43,Western European,Married,Unknown or not provided,Female,Condominium,68.0,1032281,2006,11.64179104477612
44,Western European,Married,Unknown or not provided,Male,Condominium,66.0,130192,1975,11.64179104477612
45,Unknown,Unknown,Unknown or not provided,Unknown,Cooperative,56.357894736842105,29887,1959,11.64179104477612
46,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,142389,1977,16.0
47,Western European,Married,Unknown or not provided,Male,Single Family Residence,59.0,171233,1962,7.0
48,African American,Married,Husband and wife,Female,Single Family Residence,59.0,237733,1967,16.0
49,Hispanic,Married,Unmarried Man,Female,Single Family Residence,71.0,144086,1973,10.0
50,Jewish,Single,Husband and wife,Female,Single Family Residence,25.0,647119,2001,15.0
51,Western European,Married,Unmarried Man,Female,Single Family Residence,49.0,143854,1968,16.0
52,Jewish,Single,Husband and wife,Female,Single Family Residence,25.0,647119,2001,15.0
53,Western European,Married,Trustee,Female,Single Family Residence,64.0,606918,1992,5.0
54,Western European,Married,Trustee,Female,Single Family Residence,64.0,606918,1992,5.0
55,Western European,Married,Single Woman,Male,Single Family Residence,30.0,219225,2013,2.0
56,Western European,Married,Single Woman,Male,Single Family Residence,30.0,219225,2013,2.0
57,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
58,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
59,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
60,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
61,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,63.0,162354,1983,23.0
62,Western European,Married,Unknown or not provided,Female,Single Family Residence,76.0,170154,1958,9.0
63,Jewish,Married,Husband and wife,Female,Single Family Residence,89.0,497835,1970,5.0
64,Middle Eastern,Married,Unknown or not provided,Male,Condominium,47.0,82929,1983,16.0
65,Western European,Married,Husband and wife,Male,Single Family Residence,54.0,202676,1979,11.0
66,Western European,Married,Unknown or not provided,Female,Single Family Residence,59.0,524341,1994,17.0
67,Western European,Married,Husband and wife,Female,Single Family Residence,60.0,265329,1986,8.0
68,Jewish,Married,Unknown or not provided,Female,Single Family Residence,87.0,310238,1977,11.0
69,Western European,Married,Husband and wife,Male,Single Family Residence,54.0,202676,1979,11.0
70,Eastern European,Separated,Husband and wife,Male,Single Family Residence,48.0,1120258,2005,10.0
71,Jewish,Married,Unknown or not provided,Female,Single Family Residence,87.0,310238,1977,11.0
72,Jewish,Married,Husband and wife,Female,Single Family Residence,89.0,497835,1970,5.0
73,Middle Eastern,Married,Unknown or not provided,Male,Condominium,47.0,82929,1983,16.0
74,Eastern European,Separated,Husband and wife,Male,Single Family Residence,48.0,1120258,2005,10.0
