,ethnicity,marital_status,owner_type,gender,use,age,bld_val,year_built,roof_age
11591,Western European,Single,Unknown or not provided,Female,Single Family Residence,21.0,117473.0,1995.0,20.0
11592,Western European,Married,Unmarried Woman,Female,Single Family Residence,76.0,132953.0,2003.0,12.0
11593,Western European,Single,Unknown or not provided,Female,Single Family Residence,51.0,212420.0,1998.0,17.0
11594,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,64.0,107969.0,1975.0,29.0
11595,East Asian,Married,Husband and wife,Female,Single Family Residence,50.0,211978.0,1996.0,19.0
11596,East Asian,Married,Husband and wife,Female,Single Family Residence,57.0,149000.0,1989.0,25.0
11597,Western European,Married,Husband and wife,Female,Single Family Residence,45.0,123000.0,1979.0,25.0
11598,Jewish,Married,Unknown or not provided,Female,Single Family Residence,97.0,375506.0,2002.0,14.0
11599,Hispanic,Married,Unknown or not provided,Female,Single Family Residence,55.0,91580.0,1983.0,25.0
11600,Western European,Married,Unmarried Woman,Female,Single Family Residence,67.0,133230.0,1984.0,25.0
11601,East Asian,Married,Husband and wife,Female,Single Family Residence,70.0,290000.0,1998.0,17.0
11602,East Asian,Married,Husband and wife,Female,Single Family Residence,68.0,180855.0,1991.0,24.0
11603,Other,Married,Husband and wife,Female,Single Family Residence,60.0,415167.0,2008.0,8.0
11604,Western European,Married,Unknown or not provided,Female,Single Family Residence,64.0,236704.0,1993.0,22.0
11605,Western European,Married,Husband and wife,Female,Single Family Residence,62.0,162898.0,1995.0,20.0
11606,Western European,Unknown,Unknown or not provided,Female,Single Family Residence,67.0,104734.0,1974.0,25.0
11607,East Asian,Married,Husband and wife,Unknown,Single Family Residence,82.0,224651.0,2005.0,10.0
11608,East Asian,Single,Unmarried Man,Male,Single Family Residence,47.0,178018.0,2006.0,9.0
11609,Hispanic,Single,Single Man,Female,Single Family Residence,39.0,184003.0,1997.0,18.0
11610,Mediterranean,Married,Unknown or not provided,Female,Single Family Residence,67.0,163025.0,1981.0,25.0
11611,East Asian,Single,Unknown or not provided,Female,Single Family Residence,71.0,186000.0,2003.0,12.0
11612,Western European,Married,Unknown or not provided,Male,Single Family Residence,71.0,131761.0,1984.0,25.0
11613,Western European,Married,Unknown or not provided,Male,Single Family Residence,70.0,226121.0,1976.0,25.0
11614,Hispanic,Single,Unknown or not provided,Female,Single Family Residence,34.0,129104.0,1978.0,25.0
11615,Western European,Married,Husband and wife,Female,Single Family Residence,64.0,154000.0,1989.0,25.0
11616,Western European,Married,Unknown or not provided,Female,Single Family Residence,56.0,113501.0,1978.0,25.0
11617,Western European,Single,Single / Unmarried,Male,Single Family Residence,48.0,180089.0,1994.0,21.0
11618,Western European,Married,Husband and wife,Female,Single Family Residence,80.0,262075.0,1996.0,19.0
11619,Western European,Married,Husband and wife,Female,Single Family Residence,61.0,203848.0,1998.0,17.0
11620,Western European,Married,Husband and wife,Female,Single Family Residence,47.0,307435.0,2006.0,9.0
11621,Eastern European,Married,Husband and wife,Female,Single Family Residence,60.0,191385.0,1982.0,25.0
11622,Western European,Married,Husband and wife,Female,Single Family Residence,64.0,116372.0,1978.0,25.0
11623,Western European,Married,Unknown or not provided,Male,Single Family Residence,55.0,132217.0,1994.0,21.0
11624,Western European,Unknown,Unmarried,Male,Single Family Residence,60.62957154858583,197934.0,1995.0,20.0
11625,African American,Married,Husband and wife,Female,Single Family Residence,45.0,148317.0,2000.0,15.0
11626,East Asian,Separated,Unknown or not provided,Male,Single Family Residence,64.0,123094.0,1991.0,24.0
11627,Western European,Single,Unknown or not provided,Female,Single Family Residence,64.0,160061.0,1996.0,19.0
11628,Middle Eastern,Married,Unknown or not provided,Female,Single Family Residence,40.0,131916.0,1979.0,25.0
11629,East Asian,Married,Husband and wife,Male,Single Family Residence,58.0,195680.0,1998.0,17.0
11630,East Asian,Married,Husband and wife,Male,Single Family Residence,68.0,182000.0,2005.0,10.0
